"date","type","dead","injured","location","details","perpetrator","partOf"
"26","Suicide bombings, shooting, bombings","4 (+3)","11","Maiduguri, Nigeria","Six people, including three civilians, a member of the Civilian Joint Task Force and two suicide bombers, were killed and nine others injured in an attack by Boko Haram insurgents in the Nigerian city of Maiduguri. Later another suicide bomber attacked an armored van of the Federal Special Anti-Robbery Squad in the same area, injuring two police officers.[180][181]","Boko Haram","Boko Haram insurgency"
"26-27","Shootings","47","2","Ménaka Region, Mali","At least 47 people were killed and two injured in two armed attacks on the settlements of Aklaz and Awakassa in the Ménaka region of Mali.[182]","Islamic State","Northern Mali conflict"
"27","Bombing","2","3","Al Madaribah Wa Al Arah District, Yemen","Two  pro-government fighters and three others were wounded when and Improvised Explosive Device detonated near the road in Kahbub, Al Madaribah Wa Al Arah District, Lahij Governorate.[183]","Al-Qaeda in the Arabian Peninsula (suspected)","Lahij insurgency"
"27","Shooting","1","0","Mayo-Sava, Cameroon","Boko Haram terrorists attacked a village near Amchide in the Mayo-Sava department in Cameroon' s Far North region, killing a man and stealing sheep.[184]","Boko Haram","Boko Haram insurgency"
"28","Suicide car bombing","6 (+1)","5","Nad Ali District, Afghanistan","A suicide bomber in a minivan attacked a military base in the Nad Ali district of Helmand province in southern Afghanistan and killed four civilians and two soldiers. Three civilians and two soldiers were also wounded in the attack.[185][186]","Taliban","War in Afghanistan"
"28","Bombing","0","12","Jalalabad, Afghanistan","A total of 12 people were injured when a bomb explosion in the city of Jalalabad, the capital of the eastern province of Nangarhar in Afghanistan, hit a booth of police traffic.[187]","Islamic State (suspected)","War in Afghanistan"
"28","Kidnapping, arson","0","3","Balrampur district, India","One sub-engineer, two construction workers were kidnapped and six vehicles were set on fire by Naxalites in Chhattisgarh's Balrampur district.[188]","PLGA","Naxalite–Maoist insurgency"
"28","Shooting","2","0","Quetta, Pakistan","Two people from the ethnic Hazara community were shot dead at their shop in a busy shopping area of Quetta, the capital of Balochistan.[189][190]","Islamic State","War in North-West Pakistan"
"28","Suicide bombing","7 (+1)","8","Galkayo, Somalia","At least seven people, including three senior military officials, were killed and eight others injured in a suicide bombing in the city of Galkayo in central Somalia.[191]","Al-Shabaab","Somali Civil War"
"29","Shooting","1","1","Laak, Philippines","One soldier was killed and another was injured during an encounter in the municipality of Laak, Compostella Valley, Philippines.[192]","New People's Army","CPP-NPA-NDF conflict"
"29","Bombing","1","3","Behsud District, Afghanistan","The head of Behsud district's crime investigation department in eastern Nangarhar was killed in a roadside mine explosion in the district, official sources said. No groups claim responsibility, but the taliban are the main suspects.[193]","Taliban","War in Afghanistan"
"29","Bombing","3","8","Surkh-Rōd District, Afghanistan","Remains of explosives belonging to the Taliban group exploded in the Surkh-Rōd district in the eastern province of Nangarhar in Afghanistan, killing three people and injuring eight others.[194]","Taliban","War in Afghanistan"
"29","Bombing","0","7","Jalalabad, Afghanistan","At least seven people, including children and policemen, were injured in a bomb attack near a voter registration center in Jalalabad, the capital of the eastern Afghan province of Nangarhar.[195][196]","Islamic State","War in Afghanistan"
"29","Bombing","0","1","Dantewada district, India","A Commando Battalion for Resolute Action soldier was injured after Naxalites triggered a bomb explosion in Chhattisgarh's Dantewada district.[197]","PLGA","Naxalite–Maoist insurgency"
"29","Shooting","0","1","Srinagar, India","A BJP worker was shot and injured by terrorists in Srinagar.[198]","Lashkar-e-Taiba (suspected)","Insurgency in Jammu and Kashmir"
"29","Shooting","3","0","Diffa Region, Niger","At least three soldiers were killed in an attack by Boko Haram militants in the Diffa region in southeast Niger.[199]","Boko Haram","Boko Haram insurgency"
"29","Bombing","0","3","Koronadal, Philippines","Three people were wounded in a bomb attack outside a Catholic church in the city of Koronadal in the Philippine province of South Cotabato.[200][201]","Bangsamoro Islamic Freedom Fighters","Moro conflict"
"29","Kidnapping","0","4","Patikul, Philippines","Abu Sayyaf extremists kidnapped four people, including two female police officers in Patikul in the Philippine province of Sulu.[202]","Abu Sayyaf","Moro conflict"
"30","Bombings","1","4","Bihsud District, Afghanistan","A senior police officer was killed and four others injured in two bomb explosions in Bihsud district in the eastern province of Nangarhar in Afghanistan.[203]","Islamic State (suspected)","War in Afghanistan"
"30","Suicide bombings","29 (+2)","50","Kabul, Afghanistan","30 April 2018 Kabul suicide bombings: At least 29 people were killed and 50 others injured in two suicide bombings in the Afghan capital Kabul, including several journalists documenting the scene.[204][205]","Islamic State","War in Afghanistan"
"30","Suicide car bombing","11 (+1)","16","Daman District, Afghanistan","At least 11 students were killed and 16 other people, including five Romanian soldiers, were injured in a suicide car bombing in Daman district in the southern province of Kandahar.[206]","Taliban (suspected)","War in Afghanistan"
"30","Shooting","0 (+2)","3","Pulwama district, India","Two Hizbul Mujahideen fighters were killed and three army personnel, including a Major, wounded in an encounter in the village of Drabgam in Kashmir's Pulwama district.[207][208]","Hizbul Mujahideen","Insurgency in Jammu and Kashmir"
"30","Shooting","3","0","Baramulla, India","Three boys were shot and killed by Lashkar-e-Taiba terrorists in the old town of Baramulla in Jammu and Kashmir.[209]","Lashkar-e-Taiba","Insurgency in Jammu and Kashmir"
