"month","year","date","type","dead","injured","location","details","perpetrator","partOf"
"April","2016","7","Shooting, bomb","5","5","Nusaybin, Turkey","Five security officials, including two police chiefs and a major, have been killed in an attack in the Nusaybin district of the southeastern province of Mardin.[15]","PKK","Kurdish–Turkish conflict"
"April","2016","7","Bomb","2","9","Baghdad, Iraq","11 people had been either killed or wounded in a bomb blast near a football stadium in southern Baghdad.[16]","Unknown","Iraqi Civil War"
"April","2016","7","Chemical attack","23","100","Aleppo, Syria","A district of  Aleppo in Syria controlled by Kurdish fighters have been the target of a chemical attack by Islamic terrorists. Videos show a yellow gas rises above the Sheikh Maksoud neighbourhood.[17] Islamist group Jaysh al-Islam claimed responsibility and stated that they will punish whoever used the chemical weapon.[18]","Jaysh al-Islam","Syrian Civil War"
"April","2016","8","Bombing","0","2","Bijbehara, India","Two people were injured in a grenade attack on Friday in busy Gorwian market.[19]","Unknown","Kashmir conflict"
"April","2016","8","Mortar attack","3","10","Mogadishu, Somalia","Three people were killed and 10 injured in a mortar attack in Somali capital Mogadishu late Thursday, an official said. The attack by suspected al-Shabaab militants saw bombs land in the city's seaside Hamar Weyne district. No group claimed responsibility but Al-shabaab is suspected because they have done similar attacks in the past.[20]","Al-shabaab suspected","War in Somalia"
"April","2016","8","Bombings","7","15","Rafah, Egypt","At least seven people are killed, including five Egyptian Army soldiers, a military officer and a civilian woman in two separate blasts in Egypt's Sinai Peninsula. ISIL's Sinai branch claimed responsibility for the attacks on several websites.[21]","Islamic State","Sinai insurgency"
"April","2016","8","Suicide bombings, shooting","0","3","Maiduguri, Nigeria","Nigerian troops neutralised four suspected Boko Haram suicide bombers to attack the restive northeastern city of Maiduguri. Three soldiers sustained injuries during the incident.[22]","Boko Haram","Boko Haram insurgency"
"April","2016","8","Shooting, melee attack","4","0","Damascus, Syria","ISIS releases more than the 300 workers it kidnapped but kills for 4 Druze.[23]","Islamic State","Syrian Civil War"
"April","2016","8","Massacre","175","300","Damascus, Syria","ISIS fighters reportedly executed 175 of the 300 kidnapped cement workers outside the Syrian capital Damascus, according to the state's military.","Islamic State","Syrian Civil War"
"April","2016","9","Shooting","17","17","Ahwar, Yemen","At least 17 Yemeni soldiers were executed by Al-Qaeda terrorist group and another 17 were wounded.[24]","Al-Qaeda","Yemeni Civil War (2015–present)"
"April","2016","9","Car bombing","3","5","Mogadishu, Somalia","At least 3 people die and 5 others were wounded in car bombing in Mogadishu.[25]","Al Shabaab","War in Somalia"
"April","2016","9","Bombing","1","3","Baqubah, Iraq","A bomb killed one and 3 people were injured in Diyala Province[26]","Unknown","Iraqi Civil War"
"April","2016","9","Bombing","2","8","Sabaa Al Bour, Iraq","In Sabaa Al Bour a bomb killed at least 2 people and another 8 were injured.[27]","Unknown","Iraqi Civil War"
"April","2016","9","Mortar attack","1","13","Baghdad, Iraq","A soldier was killed and 13 others were injured in a mortar shell attack in western Baghdad.[28]","Unknown","Iraqi Civil War"
"April","2016","9","Bombing","18","52","al-Barka and Tipo-Tipo, Philippines","At least 18 soldiers are killed and 52 injured in clashes with Abu Sayyaf militants and allied gunmen in Basilan island, Philippines.[29]","Abu Sayyaf","Moro Conflict"
"April","2016","9","Unknown","3","6","Hatun Asha, Peru","At least 3 people are killed and another 6 were wounded in a remote part of Peru in an attack by Shining Path guerillas[30][31]","Shining Path","Internal conflict in Peru"
"April","2016","9","Bomb","0","3","Istanbul, Turkey","A bomb exploded near a bus stop, in the district of Mecidiyekoy, the European part of the city.[32]","Unknown",""
"April","2016","9","Car bombing","2","0","Derik, Turkey","One police officer and one civilian were killed in an outlawed PKK attack in the Derik of the southeastern province of Mardin.[33]","PKK","Kurdish–Turkish conflict"
"April","2016","9","Shooting","0","3","Wajir, Kenya","Al-Shabaab fighters attacked a police station in Wajir, injuring three police officers, they also stole a police landcruiser before burning shops in the town.[34]","Al Shabaab",""
"April","2016","10","Bombing","1","5","Baghdad, Iraq","Six people were either killed or wounded in a bomb blast northeast of Baghdad.[35]","Unknown","Iraqi Civil War"
"April","2016","10","Bombing","2","6","Baghdad, Iraq","Eight members of al-Hashed al-Shaabi had been either killed or wounded in a bomb blast in northern Baghdad.[36]","Unknown","Iraqi Civil War"
"April","2016","10","Assassination","1","0","Gaziantep, Turkey","Halab Today TV presenter Mohammed Zahir al-Sherqat was shot in the neck at close range in Gaziantep. He succumbed to his wounds in a hospital in Gaziantep near the Syrian border on 12 April. Islamic State claimed the attack.[37]","Islamic State","Syrian Civil War"
"April","2016","11","Bombing","2","0","Kabul, Afghanistan","A bomb killed at least two people in Kabul.[38]","Taliban","War in Afghanistan"
"April","2016","11","Suicide bombing","5","7","Mogadishu, Somalia","A suicide bomber detonated a car bomb near a busy restaurant in Mogadishu killing five people and wounding seven. Al-Shabaab claimed responsibility.[39]","Al-Shabaab","War in Somalia"
"April","2016","11","Suicide bombing","6","12","Hit, Iraq","6 people were killed and 12 injured in a suicide bombing in central Iraq. ISIL is most likely responsible.[40]","Islamic Statesuspected","Iraqi Civil War"
"April","2016","11","Suicide bombing","12","38","Jalalabad, Afghanistan","A Suicide bomber riding a motorcycle rammed a bus carrying new Army recruites and detonated explosives, killing 12 army recruits and wounding another 38. No group claimed responsibility.[41]","Unknown","War in Afghanistan"
"April","2016","11","Shooting","5","6","Ruyigi, Burundi","A gunman killed 5 civilians and wounded 6 at a market in Ruyigi near the Tanzanian border.[42]","Unknown","Burundian unrest"
"April","2016","11","Shooting","7","0","Kandahar, Afghanistan","A policeman shoot dead 7 fellow policemen in Kandahar. The shooter was apparently a Taliban militant who infiltrated police.[43]","Taliban","War in Afghanistan"
"April","2016","11","Suicide bombing","3","0","Stavropol, Russia","Three men including at least one suicide bomber have attacked a police station in Russia's Stavropol region near the north Caucasus[44]","Unknown","Insurgency in the North Caucasus"
"April","2016","12","Motorbike bombing","2","8","Chana, Thailand","A four-year-old boy and a policeman were killed, while eight others were wounded in the latest bomb attack in southern Thailand, which occurred in front of the Chana railway station.[45]","Unknown","South Thailand insurgency"
"April","2016","12","Car bombing","2","50","Hani, Turkey","A car bomb attack on a Turkish gendarmerie in the town of Hani killing at least two people and injuring 50.[46]","PKK","Kurdish–Turkish conflict"
"April","2016","12","Bombing","1","0","Sidon, Lebanon","A member of Fatah group died in a bomb attack in Sidon near a Palestinian refugee camp.[47]","Unknown",""
"April","2016","12","Mortar attack","0","4","Tal Maghaz, Iraq","A mortar shell launched by Islamic State had fallen on the village of Tal Maghaz, resulting in the injury of four elements of the Peshmerga.[48]","Islamic State","Iraqi Civil War"
"April","2016","12","Land mine","3","1","near Tessalit, Mali","Three French soldiers were killed and another wounded in the explosion of a bomb under their car. The soldiers were members of the Operation Barkhane.[49]","Unknown","Northern Mali conflict"
"April","2016","12","Suicide bombing","4","0","Aden, Yemen","At least 4 people died in a suicide bombing in the city of Aden.[50]","Islamic State","Yemeni Civil War"
"April","2016","12","Shooting","1","2","Swat District, Pakistan","A gunman killed one and two others were wounded in Swat District.[51]","Tehrik-i-Taliban Pakistan","War in North-West Pakistan"
"April","2016","12","Rocket attack","2","8","Kilis, Turkey","Eight people were wounded when rockets fired from an area in Syria controlled by Islamic State jihadists crashed into the centre of Kilis. One of the wounded died later in the day and another overnight.[52]","Islamic State","Turkey–ISIL conflict"
"April","2016","13","Shooting","1","4","Misrata, Libya","One security guard was killed and four others were injured on  in an Islamic State attack on a military checkpoint in Misrata.[53]","Islamic State","Second Libyan Civil War"
"April","2016","13","Car bombing","0","6","Makhmour, Iraq","Six Iraqi soldiers in Makhmour were wounded by a car bombing perpetrated by the Islamic State.[54]","Islamic State","Iraqi Civil War"
"April","2016","13","Bombing","1","5","Baghdad, Iraq","A bomb exploded near Rasheed fruits and vegetables market in Abu Dshir neighbourhood in al-Darwa district in southern Baghdad, killing one person and injuring five others.[55]","Unknown","Iraqi Civil War"
"April","2016","14","Bombing","2","7","Baghdad, Iraq","A bomb exploded in the district of Mahmudiya in southern Baghdad, killing two people and injuring seven others.[56]","Unknown","Iraqi Civil War"
"April","2016","14","Bombing","1","7","Baghdad, Iraq","A bomb exploded near shops in al-Tobji area in western Baghdad, killing one person and wounding seven others.[57]","Unknown","Iraqi Civil War"
"April","2016","14","Shooting","8","0","Takhar Province, Afghanistan","Eight people, seven police officers and the Kandahar Highway Police Chief, were killed  when a police convoy was attacked.[58]","Taliban suspected","War in Afghanistan"
"April","2016","15","Bombing","0","4","Yarang, Thailand","Four Army rangers were injured when they were attacked by homemade bomb during a routine morning patrol in the Yarang district of Pattani.[59]","Unknown","South Thailand insurgency"
"April","2016","15","Bombing","3","0","Bukavu,   Democratic Republic of Congo","Three people were killed after a grenade explosion in Bukavu, South Kivu.[60]","Unknown","Kivu conflict"
"April","2016","15","Melee attack","1","0","Lagos, Nigeria","A vehicle waylaid a bus and a passenger on the bus was dragged out of the it and butchered by unknown gunmen. The victim is identified as forty year old Olusola Bamidele.[61]","Unknown",""
"April","2016","15","Land mine","4","2","Savur, Turkey","At least four Turkish Army soldiers are killed and two others are wounded after a roadside bomb hit their vehicle in the southeast Mardin Province.[62]","PKK","Kurdish–Turkish conflict"
"April","2016","16","Bombing","2","8","Baghdad, Iraq","A bomb exploded near a popular market in Al Barriya area in western Baghdad, killing two people and injuring eight others.[63]","Unknown","Iraqi Civil War"
"April","2016","16","Suicide car bombing","1","5","Aden, Yemen","Police at a checkpoint opened fire at a car traveling at high speed which then exploded, wounding at least five officers. One of the policemen later died in hospital.[64]","Unknown","Yemeni Civil War"
"April","2016","16","Suicide car bombing","4","2","Aden, Yemen","Four Yemeni soldiers were killed and two others were wounded in a suicide attack on a checkpoint near the international airport in Aden.[65]","Islamic State","Yemeni Civil War"
"April","2016","16","Bombing","0","3","Essen, Germany","A bomb exploded at a Sikh wedding ceremony in Essen, Germany, injuring at least three people. A masked assailant was seen leaving the scene.[66] Two 16-year-old Islamic extremists were arrested in relation to the bombing on 21 April.[67]","Islamist Lone wolf","Wave of Terror in Europe"
"April","2016","16","Shooting","0","2","Rafah, Egypt","Two soldiers were reportedly injured and three militants killed  in an attack that targeted the Armed Forces’  near the entrance to Rafah in North Sinai. [68]","Wilayat Sayna suspected","Sinai insurgency"
"April","2016","17","Land mine","1","3","Nusaybin,
Turkey
","One police officer was killed while three others were wounded as militants detonated an improvised explosive device during the passage of policemen in Nusaybin, in southeastern Mardin province.","PKK","Kurdish–Turkish conflict"
"April","2016","17","Shooting","0","2","Baghdad, Iraq","Unidentified militants attacked a patrol belonging to the army in the area of Arab Jibor, south of Baghdad and opened their fire against its elements, resulting in the injury of two soldiers.[69]","Unknown","Iraqi Civil War"
"April","2016","17","Bombings","2","4","Baghdad, Iraq","An officer and a soldier had been killed and four others were injured in two bombings that took place north of Baghdad.[70]","Unknown","Iraqi Civil War"
"April","2016","17","Shooting","4","0","Bujumbura, Burundi","Four members of the ruling party were killed in a bar while they were gathering for an environmental clean-up exercise.[71]","Unknown","Burundian unrest"
"April","2016","17","Shooting","1","0","Rafaï, Central African Republic","A Moroccan peacekeeper of Minusma  was killed during an attack by alleged members of the Lord's Resistance Army.[72]","Lord's Resistance Army","Central African Republic Civil War"
"April","2016","17","Shooting","1","0","Lower Shebelle, Somalia","Unknown gunmen have opened fire on a civilian bus near Shalanbod village in Lower Shebelle region, killing at least one passenger on the spot.[73]","Unknown","War in Somalia"
"April","2016","17","Shooting","1","1","Mogadishu, Somalia","A cleaning lady working for the UNHCR HQ, Fowsiya Hassan Elmi, in Mogadishu was killed and another woman wounded by pistol-wielding men on a motorbike.[74]","Al-Shabaab suspected","War in Somalia"
"April","2016","17","Mortar Attack","0","4","Abu Karma, Iraq","Four civilians had been injured as a result of the fall of seven mortar shells on the village of Abu Karma.[75]","Islamic State","Iraqi Civil War"
"April","2016","18","Bombing","1","7","Baghdad, Iraq","An explosive device exploded near a popular market in Euphrates neighbourhood in western Baghdad, killing one person and injuring seven others.[76]","Unknown","Iraqi Civil War"
"April","2016","18","Shooting, car bombing","4","0","Mogadishu, Somalia","Al-Shabaab opened fire at a government vehicle killing three civilians. The vehicle was laden with explosives and detonated remotely which killed another person. One of the attackers were killed.[77]","Al-Shabaab","War in Somalia"
"April","2016","18","Rocket attack","5","6","Kilis, Turkey","Four rocket projectiles fired from Syria struck a Turkish border town, killing three Syrian children and a Syrian man. A Turkish citizen and five other Syrians were also wounded in the rocket fire that hit the southern town of Kilis, where the Syrian refugee population outnumbers the local population. One people die later.[78]","Islamic State","Syrian Civil War"
"April","2016","18","Bombing","0","21","Jerusalem, Israel","2016 Jerusalem bombing: An explosion on board a bus in Jerusalem has injured at least 21 people, including two seriously.[79][80]","Hamas","Israeli–Palestinian conflict"
"April","2016","19","Motorbike bombing","1","11","Thepha District, Thailand","A motorcycle bombing attack in Thailand's southern province of Songkhla on Tuesday evening has left one man dead and another 11 others injured, including a child.[81]","Unknown","South Thailand insurgency"
"April","2016","19","Suicide car bombing, shooting","64","347","Kabul, Afghanistan","2016 Kabul attack: A Taliban suicide bomb and gun assault on a government security building during morning rush hour in central Kabul killed at least 28 people and wounded more than 320, in the most deadly single attack in the Afghan capital since 2011.[82][83]","Taliban","War in Afghanistan"
"April","2016","19","Suicide bombing","1","18","Mardan, Pakistan","One person was killed and eighteen injured in a suicide blast in Mardan at an Excise and Taxation office.[84]","Unknown","War in North-West Pakistan"
"April","2016","19","Bombing","2","5","Baghdad, Iraq","A  bomb exploded near shops in Saidiya district in southern Baghdad, killing two people and wounding five others.[85]","Unknown","Iraqi Civil War"
"April","2016","19","Bombing","1","8","Baghdad, Iraq","A bomb exploded near al-Daght street in Ghazaliya district in western Baghdad, killing one person and wounding eight others.[86]","Unknown","Iraqi Civil War"
"April","2016","19","Rocket attack","3","8","Sheikh Zuweid, Egypt","Three Egyptian riot policemen were killed in a rocket attack on their convoy in the Sinai Peninsula.[87][88]","Wilayat Sayna suspected","Sinai insurgency"
"April","2016","19","Land mine","2","4","Şırnak Province,
Turkey
","A sergeant and a specialized sergeant were killed while four others were wounded as militants from the outlawed Kurdistan Workers' Party detonated a homemade bomb in the Bahçelievler neighbourhood of the southeastern Şırnak Province on April 19.[89]","PKK","Kurdish–Turkish conflict"
"April","2016","20","Chemical attack","0","6","Abu Shith, Iraq","Islamic State attacked the Peshmerga forces near Abu Shith village in Kuwer axis using 12 chemical rockets. The shelling resulted in the wounding of 6 members of the Peshmerga forces.[90]","Islamic State","Iraqi Civil War"
"April","2016","20","Bombing","0","5","Takbai, Thailand","Five local volunteer members of Narathiwat police in Takbai were injured when a bomb exploded.[91]","Unknown","South Thailand insurgency"
"April","2016","20","Bombing","0","5","Pattani, Thailand","About one hour before the incident in Takbai, a bomb had exploded in Pattani, reportedly leaving five policemen.[91]","Unknown","South Thailand insurgency"
"April","2016","20","Bombing","1","2","al-Had al-Akhdar, Iraq","An explosive device that was emplaced inside an orchard near the village of al-Had al-Akhdar (17 km northeast of Baqubah) exploded, killing a farmer and wounding two others.[92]","Unknown","Iraqi Civil War"
"April","2016","20","Bombing","2","8","Baghdad, Iraq","A bomb exploded near a popular market in  al-Yusufiya area in southern Baghdad, killing two people and wounding eight others.[93]","Unknown","Iraqi Civil War"
"April","2016","20","Bombing","1","3","Baghdad, Iraq","A bomb exploded targeting a police patrol while passing in Arab Jabour village in al-Dawra area in southern Baghdad, killing one of its occupants and wounding three others.[94]","Unknown","Iraqi Civil War"
"April","2016","20","Falling","5","0","Mosul, Iraq","Islamic State executed two of its elements and three civilians by throwing them from the top of a high building  in the area of Bab al-Tub in central Mosul.[95]","Islamic State","Iraqi Civil War"
"April","2016","20","Suicide bombing","7","0","Banki, Nigeria","At least seven or eight people have been killed at a refugee camp in Nigeria after two female suicide bombers blew themselves up. The bombing took place in the north-east of Nigeria near the border with Cameroon. Several people were wounded in the attack though details still remain sketchy.[96][97]","Boko Haram","Boko Haram insurgency"
"April","2016","21","Bombing","2","3","Baghdad, Iraq","A  bomb exploded targeting a vehicle belonging to Al-Hashd al-Shaabi members, while passing in Hor Rajab  village in al-Darwa area in southern Baghdad, killing two of its occupants and wounding three others including the driver.[98]","Unknown","Iraqi Civil War"
"April","2016","21","Bombing","1","8","Baghdad, Iraq","A bomb exploded near a popular market in al-Bakriya area in western Baghdad, killing one person and injuring eight others.[99]","Unknown","Iraqi Civil War"
"April","2016","21","Shooting","1","3","Zaghniya, Iraq","Islamic State members launched an armed attack on a police checkpoint in the vicinity of Zaghniya village (15 km northeast of Baqubah), killing a policeman and wounding two others.[100]","Islamic State","Iraqi Civil War"
"April","2016","21","Land mine","6","0","Ramadi, Iraq","Six civilians were killed in the explosion of six booby-trapped houses in Ramadi.[101]","Islamic State","Iraqi Civil War"
"April","2016","21","Bombing","2","8","Baghdad, Iraq","An explosive device exploded in a popular cafe in Madain area in southern Baghdad, killing two people and wounding eight others.[102]","Unknown","Iraqi Civil War"
"April","2016","21","Shooting","1","0","Bruwana al-Kabira, Iraq","Unidentified gunmen attacked an element of Al-Hashd al-Shaabi near the village of Bruwana al-Kabira (13 km northeast of Baqubah) and opened their fire against him, resulting in his immediate death.[103]","Unknown","Iraqi Civil War"
"April","2016","21","Shooting","1","0","Jendouba, Tunisia","A man was  wounded during an attack by two jihadists in a mountainous area northwest of Tunisia. The shooting takes place in Jendouba aera.[104]","Unknown","ISIL insurgency in Tunisia"
"April","2016","21","Shooting","250","0","Mosul, Iraq","At least 250 Iraqi woman were executed by Islamic State fighters because they refused to become sex slaves.[105]","Islamic State","Iraqi Civil War"
"April","2016","22","Land mine","3","0","Tunceli, Turkey","Three soldiers who were in the car were killed in a bomb attack by the outlawed Kurdistan Workers' Party  in the eastern province of Tunceli.[106]","PKK","Kurdish–Turkish conflict"
"April","2016","22","Suicide bombing","7","23","Baghdad, Iraq","At least nine people have been killed in a suicide bombing at a Shia mosque in southwest Baghdad. At least 25 others were wounded.[107][108]","Unknown","Iraqi Civil War"
"April","2016","23","Melee attack","1","0","Rajshahi, Bangladesh","A university professor has been hacked to death in northwestern Bangladesh. Rezaul Karim Siddique was attacked on his way to the state-run university in the city of Rajshahi, where he taught English. The Islamic State claimed responsibility for the attack.[109]","Islamic State","Internal conflict in Bangladesh"
"April","2016","23","Bombing","1","8","Baghdad, Iraq","A bomb exploded in al-Shaab district northeast of Baghdad, killing one person and wounding eight others.[110]","Unknown","Iraqi Civil War"
"April","2016","23","Suicide bombing","1","4","Baghdad, Iraq","One soldier was killed and four other were wounded in a suicide bombing, that targeted a security post belonging to the army, in the area of al-Husseiniya, north of the capital of Baghdad.[111]","Unknown","Iraqi Civil War"
"April","2016","23","Attack","1","7","Brega, Libya","ISIL fighters attacked an oil plant south of Brega. The aftermath of the attack was a killed guard and seven other wounded people.","Islamic State","Second Libyan Civil War"
"April","2016","23","Bombing","0","2","Baghdad, Iraq","An improvised explosive device emplaced on the roadside in Abu Dsheir area in southern Baghdad exploded, wounding two civilians.[112]","Unknown","Iraqi Civil War"
"April","2016","23","Freezing","45","0","Baghdad, Iraq","ISIS reportedly killed 45 by locking inside a forensic freezer after they attempted to flee during a battle in Iraq.","Islamic State","Iraqi Civil War"
"April","2016","24","Rocket attack","3","0","Sheikh Zuweid, Egypt","An explosion rocked the volatile peninsula, killing three members of Egyptian military forces. The incident took place when security forces were on patrol to arrest terrorists in a village south of the town of Sheikh Zuweid, located in North Sinai .[113]","Wilayat Sayna suspected","Sinai insurgency"
"April","2016","24","Grenade attack","0","2","Bujumbura, Burundi","Human rights Minister Martin Nivyabandi and his wife were injured when a grenade was thrown into their car.[114]","Unknown","Burundian unrest"
"April","2016","24","Massacre","30","0","Alau.Nigeria","Boko Haram have been reported to have murdered a total of 30 peoples during a raid in Alau village in Borno State.[115]","Boko Haram","Boko Haram insurgency"
"April","2016","25","Motorbike bombing","1","20","Narathiwat, Thailand","Two bombs rigged to motorcycles exploded simultaneously in two locations in Narathiwat province. The explosions killed one person, and  injured 20 others.[116]","Unknown","South Thailand insurgency"
"April","2016","25","Shooting","2","0","Yala Province, Thailand","In nearby Yala Province, two rubber farmers were killed in a roadside shooting.[116]","Unknown","South Thailand insurgency"
"April","2016","25","Melee attack","1","0","Jolo, Philippines","Canadian John Ridsdel, kidnapped in September in the Philippines, was executed by his captors, the Abu Sayyaf terrorist group. The head of the victim was found in Jolo, a mountainous island in the extreme south of the Philippines, and a stronghold of the Islamist group.[117]","Abu Sayyaf","Moro Conflict"
"April","2016","25","Shooting","3","3","Bujumbura, Burundi","An advisor of the vice president was shot dead in the capital by unknown gunmen, while he was dropping of his daughter for school. Brig. Gen. Athanase Kararuza was killed along with his wife and one of his bodyguards. His daughter, another bodyguard and his driver were injured.[118]","Unknown","Burundian unrest"
"April","2016","25","Land mine","4","16","Nusaybin, Turkey","One soldier were killed after an explosive was detonated by  PKK members in southeastern Turkey. Sixother soldiers were also wounded in the explosion that happened in the heart of the Nusaybin district. After the first attack three Turkish soldiers were killed and 10 wounded  during security operations in the first attack's zone when another explosive detonated.[119]","PKK","Kurdish–Turkish conflict"
"April","2016","25","Melee attack","2","1","Dhaka, Bangladesh","Xulhaz Mannan, an employee of the U.S. Embassy in Dhaka and the editor of Bangladesh's first and only LGBT magazine, was hacked to death in his apartment along with his friend.[120]","AQIS","Internal conflict in Bangladesh"
"April","2016","25","Bombing","7","9","Baghdad, Iraq","[121][122]","Unknown","Iraqi Civil War"
"April","2016","25","Car bombing","3","18","New Baghdad, Iraq","[123]","Unknown","Iraqi Civil War"
"April","2016","25","Shelling","1","0","Hīt, Iraq","[124]","Islamic State","Iraqi Civil War"
"April","2016","25","Shelling","16","86","Aleppo, Syria","Militants from the Al-Nusra Front shelled several neighbourhoods of Aleppo, killing 16 and injuring 86 people.[125]","Al-Nusra","Syrian Civil War"
"April","2016","25","Car bombing","1","5","Baghdad, Iraq","[126]","Unknown","Iraqi Civil War"
"April","2016","25","Suicide bombing","1","0","al-Hramsha, Iraq","[127]","Unknown","Iraqi Civil War"
"April","2016","25","Car bombing","7","20","Sayyidah Zaynab, Syria","At least seven people were killed and twenty injured in a car bomb attack near the famous Shiite shrine of Sayyidah Zaynab, south of Damascus.[128]","Al-Nusra","Syrian Civil War"
"April","2016","26","Suicide bombing","2","8","Baghdad, Iraq","[129]","Unknown","Iraqi Civil War"
"April","2016","26","Drowning","7","0","Mosul, Iraq","[130]","Islamic State","Iraqi Civil War"
"April","2016","27","Land mine","0","3","Van Province, Turkey","Three soldiers were wounded in an attack by the outlawed Kurdistan Workers' Party militants in the eastern province of Van.[131]","PKK","Kurdish–Turkish conflict"
"April","2016","27","Bombing","1","7","Baghdad, Iraq","[132]","Unknown","Iraqi Civil War"
"April","2016","27","Shooting","1","1","Baghdad, Iraq","[133]","Unknown","Iraqi Civil War"
"April","2016","27","Land mine","3","0","Arish, Egypt","Three Egyptian police conscripts were killed in a roadside bombing  in the restive Sinai Peninsula. The bomb targeted a police convoy as it drove through the North Sinai town of Arish.[113]","Wilayat Sayna suspected","Sinai insurgency"
"April","2016","27","Bombing","1","10","Baghdad, Iraq","[134]","Unknown","Iraqi Civil War"
"April","2016","27","Bombing","2","5","Baghdad, Iraq","[135]","Unknown","Iraqi Civil War"
"April","2016","27","Suicide bombing","0","13","Bursa, Turkey","2016 Bursa bombing: A suicide bomber blew herself up in the Turkish city of Bursa, wounding 13 people in the Bursa's 14th century Grand Mosque, a historic symbol of the city that was the first capital of the Ottoman Empire.[136][137]","Kurdistan Freedom Falcons","Kurdish–Turkish conflict"
"April","2016","28","Land mine","1","5","Yala Province, Thailand","An army ranger has been killed and five others wounded in a roadside bomb attack Yala Province, while the military personnel were on patrol.[138]","Unknown","South Thailand insurgency"
"April","2016","28","Shooting, bombing","5","3","Bujumbura, Burundi","Five people were killed in a gun and grenade attack in a district of Burundi's capital which is stronghold of opposition to president Pierre Nkurunziza.[139]","Unknown","Burundian unrest"
"April","2016","28","Shooting","3","3","Masisi, Democratic Republic of Congo","Three people died and three others were injured during an armed attack against a position of the Armed Forces of the Democratic Republic of the Congo in North Kivu.[140]","Nyatura","Kivu conflict"
"April","2016","28","Mortar attack","1","5","Baqubah, Iraq","[141]","Unknown","Iraqi Civil War"
"April","2016","28","Bombing","2","5","Baghdad, Iraq","[142]","Unknown","Iraqi Civil War"
"April","2016","28","Bombing","2","3","Baghdad, Iraq","[143]","Unknown","Iraqi Civil War"
"April","2016","28","Land mine","1","2","Varto, Turkey","One police officer was killed and two others were wounded in an outlawed Kurdistan Workers' Party bomb attack in the Varto district. PKK militants detonated an explosive placed on the road during the passing of an armored police vehicle.[144]","PKK","Kurdish–Turkish conflict"
"April","2016","28","Shelling","0","11","Haditha and Bruwana, Iraq","[145]","Islamic State","Iraqi Civil War"
"April","2016","28","Bombing","1","5","Baghdad, Iraq","[146]","Unknown","Iraqi Civil War"
"April","2016","29","Bombing","14","14","Baiji, Iraq","Militants used car bombs, killing 11 members of the security forces and wounding 12 others. Militants also attacked security forces near Makhoul, killing three police officers and wounding two others.[147]","Islamic State","Iraqi Civil War"
"April","2016","30","Melee attack","1","0","Tangail, Bangladesh","A Hindu tailor was killed in central Bangladesh, by several men on a motorcycle. The crime was quickly claimed by the organization Islamic State through the news agency of the terrorist group.[148]","Islamic State","Internal conflict in Bangladesh"
"April","2016","30","Bombing","1","4","Baghdad, Iraq","[149]","Unknown","Iraqi Civil War"
"April","2016","30","Suicide car bombing, bombing","38","86","Baghdad, Iraq","April 2016 Baghdad bombing: A suicide bomber driving a car killed at least 38 people and wounded 86 others on April 30 in an attack claimed by Islamic State of Iraq and the Levant (ISIL) on a group of Shi'ite Muslim pilgrims in a southeastern suburb of Baghdad, Iraqi police sources said. A second explosion near a Shi'ite militia checkpoint in the capital's Dora district killed two and wounded three others, police sources said. There was no immediate claim of responsibility for that blast.[147][150]","Islamic State and Unknown","Iraqi Civil War"
"May","2016","1","Car bomb","2","23","Gaziantep, Turkey","May 2016 Gaziantep bombing: Two policeman was killed and twenty-two others (four being civilians) were wounded after a car bomb exploded out a police headquarters in Gaziantep.[1]","Islamic State","Turkey–ISIL conflict"
"May","2016","1","Rocket attack","0","7","Kilis, Turkey","Seven people were wounded when three rockets fired from an area in Syria controlled by Islamic State jihadists crashed into the centre of Kilis.[2]","Islamic State","Turkey–ISIL conflict"
"May","2016","1","Suicide Car Bombings","38","86","Samawa, Iraq","several children are among over three dozen dead after two suicide car bombs blast go off in different areas.","Islamic State","Iraqi Civil War"
"May","2016","1","Suicide Bombing","22","10","Runirgood, Somalia","twenty-two defenders of a small town are killed during an al-shabaab attack that started out with a suicide bomber.","Al-Shabaab","War in Somalia"
"May","2016","1","Beheaded","4","0","Raqqa, Syria","four teenagers are beheaded by the Islamic state","Islamic State","Syrian Civil War"
"May","2016","1","Suicide bombing","5","0","Aden, Yemen","A suicide bomber attacked the security chief's motorcade in the southern port city, killing five of his bodyguards.[3]","Islamic State","Yemeni Civil War"
"May","2016","1","Attack, suicide car bombing","22","0","Runirgod, Somalia","Militant group Al-Shabaab  attacked and recaptured a town in Somalia's Middle Shebelle region killing 22 Somali soldiers. The militants used a suicide car bomb in the assault and seized at least three military vehicles.[4]","Al-Shabaab","War in Somalia"
"May","2016","1","Suicide bombing","33","75","Samawa, Iraq","2016 Samawa bombing[5]","Islamic State","Iraqi Civil War"
"May","2016","2","Bombing","1","8","Baghdad, Iraq","[6]","Islamic State","Iraqi Civil War"
"May","2016","2","Suicide car bombing","18","45","Baghdad, Iraq","Sixteen Shiite pilgrims were killed and 43 others wounded in a suicide car bomb explosion in Baghdad.[8]","Islamic State","Iraqi Civil War"
"May","2016","2","Suicide car bombing","1","23","Diyarbakır, Turkey","One soldier was killed and 23 people were injured in a suicide car bomb against the security forces in Diyarbakır.[9]","PKK","PKK rebellion"
